gene_id,r542,r543,r544,r545,r546,r547,r548,r549
ENSG00000000003,3.6752852649880627,3.406299920360854,1.641467418562233,1.6747679598768899,3.745570802507645,3.8881782348976035,2.9707542816168835,3.2408348269733205
ENSG00000000419,2.740415998092155,2.729219927928998,2.5733260479755056,2.293823646474497,3.020075436933815,2.8684378671071973,2.280380308246299,2.607268757447989
ENSG00000000457,1.224626867401134,1.279423749813318,1.1398689149922587,1.1120662083909962,1.2269462042157195,1.2222976125471523,1.1088990906703189,1.1480294935332485
ENSG00000000460,1.2265701821255581,1.2037712293333616,1.1046251699728593,1.1063081137881796,1.2298647459752634,1.2305043120682218,1.1248177740728666,1.1540257760071564
ENSG00000000971,1.000007213457171,1.0022128389680192,1.0819394893210552,1.076080169497717,1.0064632016797457,1.0039188033514528,1.0739435938641495,1.1116323101232792
ENSG00000001036,2.649116464692281,2.5328430667703907,2.6196735877955604,2.5183261470768272,2.033387759701435,2.053045283849246,2.262255741538612,2.5673020575055245
ENSG00000001084,1.3836517670517356,1.7380587427562049,1.189059134607312,1.20120098772312,1.7364490168687134,1.7175086357582847,1.3196410541277406,1.4093746420781676
ENSG00000001167,1.968308292211745,1.9786496044027522,1.7036500243249797,1.753792776020846,2.075710603919267,2.05689561613136,2.4673707873832678,2.6986629998858844
ENSG00000001460,1.07759850082562,1.0689871715511365,1.0804871219370367,1.0728123935964078,1.0461417816447207,1.063378685707778,1.1631122443471245,1.1806825651621964
ENSG00000001461,1.407227648690881,1.3007680332803089,1.2967569282244467,1.3014881469624089,1.489645688040287,1.49693780069529,1.9118641197987558,2.1080727598004136
ENSG00000001497,1.2686799123131423,1.2325993642057047,1.3059530159838595,1.3351287699229404,1.2500823528151284,1.2708578094636103,1.1643100200900691,1.1829719117474005
ENSG00000001561,2.428957061127386,2.350033247012072,1.5670781023073344,1.483214717200995,3.640910085842548,3.6368565930554464,2.975239472250018,3.2302568213212357
ENSG00000001617,1.1646253977371634,1.11669079022261,1.0700664028630975,1.1092870018143348,1.4638735204364162,1.4898408974365511,1.032248985173842,1.0338070817280218
ENSG00000001629,1.4539442009260748,1.412819454850339,1.35268508920325,1.3448057772116015,1.3757567764856142,1.4003247884361933,1.3502652657020855,1.456953301875439
